UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;P501;P502L;P503;P504L;P505;SELEC_AUX;FEX_MUJER
19260;19;1;2021;6;11;3;1;2;1; ; ;2;189
19260;21;1;2021;6;11;3;4;2;1; ; ;2;490
19260;22;1;2021;6;11;3;1;2;1; ; ;2;161
19260;24;1;2021;6;11;3;4;5;1; ; ;5;717
19260;25;1;2021;6;11;3;1;1;1; ; ;1;161
19292;1;1;2021;1;11;1;1;2;1; ; ;2;516
19292;4;1;2021;1;11;1;1;1;1; ; ;1;552
19292;17;1;2021;1;11;1;3;2;1; ; ;2;1431
19292;23;1;2021;1;11;1;4;3;1; ; ;3;2064
19292;34;1;2021;1;11;1;2;1;1; ; ;1;732
19292;36;1;2021;1;11;1;2;2;1; ; ;2;916
19292;57;1;2021;1;11;1;1;1;1; ; ;1;441
19292;58;1;2021;1;11;1;1;1;1; ; ;1;441
19292;63;1;2021;1;11;1;1;1;1; ; ;1;366
19346;4;1;2021;1;11;1;2;2;1; ; ;2;653
19346;7;1;2021;1;11;1;1;1;1; ; ;1;229
19346;11;1;2021;1;11;1;2;2;1; ; ;2;599
19346;22;1;2021;1;11;1;1;2;1; ; ;2;239
19346;35;1;2021;1;11;1;1;1;1; ; ;1;306
19346;38;1;2021;1;11;1;2;1;1; ; ;1;458
19346;39;1;2021;1;11;1;1;1;1; ; ;1;327
19346;49;1;2021;1;11;1;2;1;1; ; ;1;506
19346;58;1;2021;1;11;1;1;1;1; ; ;1;239
19346;65;1;2021;1;11;1;2;3;1; ; ;3;721
19401;1;1;2021;1;11;1;2;1;1; ; ;1;746
19401;2;1;2021;1;11;1;1;1;1; ; ;1;292
19401;7;1;2021;1;11;1;1;1;1; ; ;1;346
19401;8;1;2021;1;11;1;1;1;1; ; ;1;354
19401;35;1;2021;1;11;1;2;2;1; ; ;2;708
19401;41;1;2021;1;11;1;2;1;1; ; ;1;585
19401;49;1;2021;1;11;1;2;1;1; ; ;1;530
19401;53;1;2021;1;11;1;1;1;1; ; ;1;373
19457;1;1;2021;1;11;1;3;2;1; ; ;2;1087
19457;3;1;2021;1;11;1;2;5;1; ; ;5;708
19457;6;1;2021;1;11;1;1;1;1; ; ;1;271
19457;11;1;2021;1;11;1;1;1;1; ; ;1;1044
19457;24;1;2021;1;11;1;1;1;1; ; ;1;283
19457;52;1;2021;1;11;1;2;3;1; ; ;3;682
19457;54;1;2021;1;11;1;1;2;1; ; ;2;399
19457;61;1;2021;1;11;1;1;1;1; ; ;1;399
19457;62;1;2021;1;11;1;1;1;1; ; ;1;299
19510;7;1;2021;1;11;1;3;2;1; ; ;2;2548
19510;35;1;2021;1;11;1;2;2;1; ; ;2;2395
19510;36;1;2021;1;11;1;1;2;1; ; ;2;1198
19510;40;1;2021;1;11;1;1;2;1; ; ;2;1198
19510;43;1;2021;1;11;1;4;2;1; ; ;2;3593
19510;54;1;2021;1;11;1;2;3;1; ; ;3;2126
19565;7;1;2021;1;11;1;1;2;1; ; ;2;498
19565;20;1;2021;1;11;1;2;3;1; ; ;3;953
19565;27;1;2021;1;11;1;2;3;1; ; ;3;884
19565;30;1;2021;1;11;1;4;4;1; ; ;4;1841
19565;32;1;2021;1;11;1;2;1;1; ; ;1;964
19565;37;1;2021;1;11;1;4;3;1; ; ;3;1768
19565;53;1;2021;1;11;1;2;3;1; ; ;3;884
19565;53;2;2021;1;11;1;1;1;1; ; ;1;303
19621;1;1;2021;1;11;1;2;3;1; ; ;3;1275
19621;22;1;2021;1;11;1;1;1;1; ; ;1;529
19621;33;1;2021;1;11;1;1;2;1; ; ;2;596
19621;46;1;2021;1;11;1;1;1;1; ; ;1;1560
19621;49;1;2021;1;11;1;3;2;1; ; ;2;1624
19621;58;1;2021;1;11;1;1;2;1; ; ;2;637
19621;75;1;2021;1;11;1;2;1;1; ; ;1;1141
