UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;P901;P902;P903;P904;P905;P906;P907;P908;P909;P910;P911;P912;P913;P914;P915;P916;P917;P918;P919;P920;P921;P922;P923;P924;P925;P926;P927;P928;P929;P930;P931;P932;P933;P934;P935;P936;P937;P938;P939;P940;P941;P942;P943;P944;P945;P946;FEX_MUJER
901;36;1;2021;1;0;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;12;15;4;1; ;10;13;3;1;3;1;3;3;455
901;41;1;2021;1;0;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;23;4;1; ;4;20;1;0;3;1;3;3;319
901;57;1;2021;1;0;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;15;4;1; ;7;21;1;6;2;3;8;8;352
920;25;1;2021;1;0;1;2;21;20;1; ; ;4;1;5;21;5;5;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6918
920;33;1;2021;1;0;1;2;2;27;2;19;1;4;2;1;18;1;0;3;1;8;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9626
1027;9;1;2021;1;0;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;30;4;1; ;3;31;3;3;3;3;3;3;498
1027;21;1;2021;1;0;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2;18;1;19;1;1;0; ; ; ; ; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1168
1027;26;1;2021;1;0;1;1;8;26;1; ; ;4;1;2;26;2;2;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;499
1027;30;1;2021;1;0;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;28;4;1; ;2;19;1;1;3;1;3;3;355
1027;34;1;2021;1;0;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;26;4;1; ;2;29;0;2;3;3;2;8;414
1027;38;1;2021;1;0;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2;15;1;17;1;1;0; ; ; ; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;625
1030;8;1;2021;1;0;1;1;20;22;1; ; ;4;3;3;24;3;3;1;3;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;214
1030;16;1;2021;1;0;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;18;4;3;27;2;18;2;1;3;3;3;3;442
1030;19;1;2021;1;0;1;2;1;25;2;15;4;4;2;2;17;2;0;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;196
1030;20;1;2021;1;0;1;1;50;26;1; ; ;4;3;5;19;2;5;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;269
1030;21;1;2021;1;0;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;6;17;1;17;1;1;5;17;5;0;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;442
1030;27;1;2021;1;0;1;2;7;20;2;20;4;4;1;2;25;2;0;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;211
